"osmID","name","highway","length","lanes"
62211374,"AEG-Straße",living_street,"85.9442080690817",1
62211375,"AEG-Straße",living_street,"95.07807350598753",1
62211376,"AEG-Straße",living_street,"139.8586396735168",1
220076574,"AS Wolfensteindamm",motorway,"232.98450001541966",2
4480590,"AVUS",motorway,"421.81073945650184",3
4480591,"AVUS",motorway,"29.650904227839003",3
4480592,"AVUS",motorway,"58.35427168967061",3
4480593,"AVUS",motorway,"30.01160476600069",3
4480599,"AVUS",motorway,"27.786946651871165",2
4546297,"AVUS",motorway,"28.676413386510013",3
4546298,"AVUS",motorway,"149.14459947784835",3
4546300,"AVUS",motorway,"27.736622130245337",3
8788060,"AVUS",motorway,"527.925300241572",3
8788062,"AVUS",motorway,"59.065080106776435",2
10755385,"AVUS",motorway,"72.44125895292949",3
35357724,"AVUS",motorway,"436.5339207302873",1
81629702,"AVUS",motorway,"350.39619701861227",3
81629713,"AVUS",motorway,"1751.843679908843",3
81629721,"AVUS",motorway,"92.31911301763313",3
81629730,"AVUS",motorway,"677.131147194171",3
92093047,"AVUS",motorway,"528.6845110271818",3
92093071,"AVUS",motorway,"253.46547173863945",2
106310123,"AVUS",motorway,"37.45977529025309",3
226972794,"AVUS",motorway,"150.56098645299159",4
313175262,"AVUS",motorway,"297.62263297553744",2
313175263,"AVUS",motorway,"222.29444860771525",3
313175264,"AVUS",motorway,"2012.438662277491",3
4442071,"Aachener Straße",residential,"453.8682568970028",1
85129361,"Aachener Straße",residential,"206.03727318329064",1
85129381,"Aachener Straße",residential,"16.748292323451317",1
22959737,"Aalemannufer",tertiary,"616.3138492940002",1
23722412,"Aalemannufer",tertiary,"119.11666133024154",1
48273148,"Aalemannufer",tertiary,"33.44084543659444",1
8152828,"Aalesunder Straße",residential,"135.68792033408556",1
152258280,"Aalstieg",residential,"336.3020604424516",1
148325351,"Aarauer Straße",residential,"369.6508861506976",1
24160799,"Aarberger Straße",residential,"95.05871353460252",1
83800303,"Aarberger Straße",living_street,"52.63836076309684",1
4777272,"Abajstraße",residential,"176.09344275900614",1
152832868,"Abbestraße",residential,"130.14635831240597",1
152832871,"Abbestraße",residential,"180.06522272623204",1
152593430,"Abendrotweg",residential,"272.093020240373",1
142575655,"Abram-Joffe-Straße",unclassified,"413.38759917232227",2
23925123,"Abtstraße",residential,"89.80432241393382",1
24580331,"Abtweiler Straße",residential,"148.70653183433163",1
7997682,"Achardstraße",residential,"488.0210754961913",1
5075792,"Achenbachstraße",residential,"157.76859051838917",1
5075793,"Achenbachstraße",residential,"24.443984640608875",1
148077401,"Achenseeweg",residential,"827.4024561119288",1
10993994,"Achillesstraße",tertiary,"425.83999903375286",1
10999957,"Achillesstraße",tertiary,"251.0968225602754",2
35573254,"Achillesstraße",tertiary,"85.14381220525235",2
35573259,"Achillesstraße",residential,"184.78814194319665",1
113715806,"Achillesstraße",tertiary,"248.99175854262063",2
113715809,"Achillesstraße",tertiary,"286.1475604421983",2
145486353,"Achillesstraße",residential,"212.08935312037835",1
4776155,"Achtermannstraße",residential,"398.43326888008346",1
25094768,"Achtermannstraße",residential,"181.7686888199135",1
11000137,"Achtrutenberg",residential,"386.7782551356935",1
48684112,"Ackerplanweg",residential,"54.416281974202164",1
4597029,"Ackerstraße",residential,"275.83002445892737",1
5216394,"Ackerstraße",residential,"480.3117181128304",1
42732334,"Ackerstraße",residential,"62.693523088700324",1
73310497,"Ackerstraße",residential,"74.72972421472215",2
147659855,"Ackerstraße",residential,"396.43282208996214",1
